"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"CANCELLED","117095329976091328_1","2025-02-01","Maharashtra","Hermoine Light Wand Toy for Kids Gift with Sunglass Harrypotter Accesssories Cosplay Combo Magic Wand Stick","CSTE_0359_Wands_Hermoine_light_SG","Free Size","1","829.0","829.0",
"RTO_COMPLETE","117100536909688128_1","2025-02-01","Gujarat","Fusked Pokemon Soft toy for Kids Bulbasaur Stuffed Animals toys for Children Cartoon character Plush toy","CSTE_0434_ST_Pokemon_Bulbasour_Green","Free Size","1","569.0","569.0",
"DELIVERED","117116006815789635_1","2025-02-01","Maharashtra","FUSKED Wooden Theme Harry Potter Hand Cranked Collectable Engraved Music Box Brown(1 Piece)","v1nepfRR","Free Size","1","249.0","249.0",
"RTO_COMPLETE","117116747517293120_1","2025-02-01","Kerala"," Money Heist Music Box Hand Cranked Collectable Wooden Engraved Musical Box  CiaoTheme Music Tune musicbox","MH_A8_Brown","Free Size","1","169.0","169.0",
"RTO_COMPLETE","117138468206964032_1","2025-02-01","Rajasthan","Caaju (Pack of 3 Refillable Travel Bottles for Toiletries Silicone Container for Cream, Shampoo Hand Wash, Lotion Storage Bottle Travel Accessories Leak Proof (60 ML)","CSTE_O0390_OT_Toiletry_Bottles","Free Size","1","109.0","109.0",
"DELIVERED","117146028179877186_1","2025-02-01","Chhattisgarh","You are My Sunshine Music Boxes Gift, Laser Engraved Sunshine Wooden Musical Box Gifts for Birthday/Valentine's Day/Christmas (Normal)","YOU ARE MY SUNSHINE SUN_BROWN","Free Size","1","209.0","209.0",
"DELIVERED","117149798162878594_1","2025-02-01","West Bengal","Fusked Green Unisex Sunglasses with UV Protection","Fire Sunglasses-Green","Free Size","1","237.0","237.0",
"DELIVERED","117162655696973184_1","2025-02-01","Uttar Pradesh","Caaju (Pack of 3 Refillable Travel Bottles for Toiletries Silicone Container for Cream, Shampoo Hand Wash, Lotion Storage Bottle Travel Accessories Leak Proof (60 ML)","CSTE_O0390_OT_Toiletry_Bottles","Free Size","1","109.0","109.0",
"DELIVERED","117169340683678212_1","2025-02-01","Maharashtra","Fusked Cute Fruit Kids Pillow Stuffed Strawberry Plush Pillows Super Soft Girls Pillows Cushion Seat","redstawberry_softtoy","Free Size","1","399.0","399.0",
"DELIVERED","117217183315329730_1","2025-02-01","Himachal Pradesh","la vieen rose brown music box Toys","69UfqNAh","Free Size","1","144.0","144.0",
"DELIVERED","117228622074466432_1","2025-02-01","Uttar Pradesh","FUSKED Wooden Theme Harry Potter Hand Cranked Collectable Engraved Music Box Brown(1 Piece)","v1nepfRR","Free Size","1","237.0","237.0",
"DELIVERED","117234929994367680_1","2025-02-01","Telangana","Caaju Compression Packing Cubes Travel Organizer Set, 3 Cubes and 1 Shoe Bag, Cream (Navy Blue, Large)","CSTE_0430_Org_Compression_Kit_Blue","Free Size","1","599.0","599.0",
"DELIVERED","117239729661005952_1","2025-02-01","Uttar Pradesh","Wooden Uniq Carved Hand Crank Happy-Birthday-Black Theme Music Box","6CKGxkiA","Free Size","1","237.0","237.0",
"DELIVERED","117258084489130496_1","2025-02-01","Karnataka","FUSKED Wooden Theme Harry Potter Hand Cranked Collectable Engraved Music Box Brown(1 Piece)","v1nepfRR","Free Size","1","249.0","249.0",
"DELIVERED","117266562175758913_1","2025-02-01","Kerala","la vieen rose brown music box Toys","69UfqNAh","Free Size","1","183.0","183.0",
"DELIVERED","117285512162693248_1","2025-02-01","Jharkhand","Fusked Kalimba Thumb 8 Keys Piano Acrylic Heart Shape small Kalimba for Beginners Professional Musical Instrument with Engraved Notes","acrylic_heart_8note_kalimba","Free Size","1","474.0","474.0",
"DELIVERED","117286324565823616_1","2025-02-01","Assam","FUSKED Wooden Theme Harry Potter Hand Cranked Collectable Engraved Music Box Brown(1 Piece)","v1nepfRR","Free Size","1","249.0","249.0",
"CANCELLED","117289263217013250_1","2025-02-01","Maharashtra","Dragon Fly Sunglass cool Sunglass, Rimless Frameless Butterfly Sun glasses Unisex Vintage Eyewear(Pink)","SG_ButterFly_LightgreenPink","Free Size","1","299.0","299.0",
"DELIVERED","117292546161496192_1","2025-02-01","Tamil Nadu","FUSKED Wooden Theme Harry Potter Hand Cranked Collectable Engraved Music Box Brown(1 Piece)","v1nepfRR","Free Size","1","249.0","249.0",
"DELIVERED","117305028612784832_1","2025-02-01","Uttar Pradesh","FUSKED Flufies Spirited Away No Face Soft Toy Plush - Washable and Safe Stuffed Toys for Girls and Boys - 20 cm Studio Ghibli Ghost Anime Toy for Collectors","CSTE_0484_ST_Animal_Kaonashi_Ghost_Black","Free Size","1","569.0","569.0",
"DELIVERED","117309677028666690_1","2025-02-01","Haryana","Caaju 66 LTR Foldable Steel Frame Cloths Zip Organizer Bag | Oxford Fabric | Storage and Cover Box for Wardrobe Shelves Clothes, Sarees, Bed Sheet, Blanket Storage Box (PACK OF 3- Navy Blue)","StorageBox_3","Free Size","1","699.0","699.0",
